_sequence,phase,step,cycle,steer_center_trim_dc,steer_clamped_deg,steer_cycle,steer_dc_center,steer_phase,steer_post_sign_deg,steer_pre_sign_deg,steer_pwm_dc,steer_requested_deg,steer_steering_direction_sign,steer_steering_limit_deg,steer_step,steer__tag,steer__line_no,motor_cycle,motor_neutral_dc,motor_phase,motor_pwm_dc,motor_reverse_mode,motor_speed_pct,motor_step,motor__tag,motor__line_no,front_clearance_m,front_min_m,heading_offset_deg,left_clearance_m,left_min_m,left_right_delta_m,right_clearance_m,right_min_m,scan_age_s,_tag,_line_no,active_heading_source,avoidance_heading_deg,centering_heading_deg,centering_weight,gap_heading_deg,speed_pct,steering_deg,steering_pre_servo_deg,target_heading_deg,pose_cycle,pose_distance_from_phase_start_m,pose_lateral_drift_m,pose_phase,pose_step,pose_x,pose_y,pose_yaw_change_deg,pose_yaw_deg,pose__tag,pose__line_no
0,steering_static,steer_left_static,1,0.0,-10.0,1,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,2,1,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,3,,,-89,,,,,,,DIAG_NAV,5,,,,,,,,,,1,,,steering_static,steer_left_static,,,,,DIAG_POSE,6
1,steering_static,steer_left_static,2,0.0,-10.0,2,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,7,2,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,8,,,-89,,,,,,,DIAG_NAV,10,,,,,,,,,,2,,,steering_static,steer_left_static,,,,,DIAG_POSE,11
2,steering_static,steer_left_static,3,0.0,-10.0,3,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,12,3,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,13,,,-89,,,,,,,DIAG_NAV,15,,,,,,,,,,3,,,steering_static,steer_left_static,,,,,DIAG_POSE,16
3,steering_static,steer_left_static,4,0.0,-10.0,4,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,17,4,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,18,,,-89,,,,,,,DIAG_NAV,20,,,,,,,,,,4,,,steering_static,steer_left_static,,,,,DIAG_POSE,21
4,steering_static,steer_left_static,5,0.0,-10.0,5,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,22,5,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,23,,,-89,,,,,,,DIAG_NAV,25,,,,,,,,,,5,,,steering_static,steer_left_static,,,,,DIAG_POSE,26
5,steering_static,steer_left_static,6,0.0,-10.0,6,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,27,6,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,28,,,-89,,,,,,,DIAG_NAV,30,,,,,,,,,,6,,,steering_static,steer_left_static,,,,,DIAG_POSE,31
6,steering_static,steer_left_static,7,0.0,-10.0,7,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,32,7,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,33,,,-89,,,,,,,DIAG_NAV,35,,,,,,,,,,7,,,steering_static,steer_left_static,,,,,DIAG_POSE,36
7,steering_static,steer_left_static,8,0.0,-10.0,8,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,37,8,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,38,,,-89,,,,,,,DIAG_NAV,40,,,,,,,,,,8,,,steering_static,steer_left_static,,,,,DIAG_POSE,41
8,steering_static,steer_left_static,9,0.0,-10.0,9,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,42,9,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,43,,,-89,,,,,,,DIAG_NAV,45,,,,,,,,,,9,,,steering_static,steer_left_static,,,,,DIAG_POSE,46
9,steering_static,steer_left_static,10,0.0,-10.0,10,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,47,10,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,48,,,-89,,,,,,,DIAG_NAV,50,,,,,,,,,,10,,,steering_static,steer_left_static,,,,,DIAG_POSE,51
10,steering_static,steer_left_static,11,0.0,-10.0,11,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,52,11,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,53,,,-89,,,,,,,DIAG_NAV,55,,,,,,,,,,11,,,steering_static,steer_left_static,,,,,DIAG_POSE,56
11,steering_static,steer_left_static,12,0.0,-10.0,12,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,57,12,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,58,,,-89,,,,,,,DIAG_NAV,60,,,,,,,,,,12,,,steering_static,steer_left_static,,,,,DIAG_POSE,61
12,steering_static,steer_left_static,13,0.0,-10.0,13,6.8,steering_static,-10.0,-10.0,5.8,-10.0,1.0,18.0,steer_left_static,DIAG_STEER,62,13,7.5,steering_static,7.5,False,0.0,steer_left_static,DIAG_MOTOR,63,,,-89,,,,,,,DIAG_NAV,65,,,,,,,,,,13,,,steering_static,steer_left_static,,,,,DIAG_POSE,66
13,steering_static,steer_center_static,14,0.0,0.0,14,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,67,14,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,68,,,-89,,,,,,,DIAG_NAV,70,,,,,,,,,,14,,,steering_static,steer_center_static,,,,,DIAG_POSE,71
14,steering_static,steer_center_static,15,0.0,0.0,15,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,72,15,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,73,,,-89,,,,,,,DIAG_NAV,75,,,,,,,,,,15,,,steering_static,steer_center_static,,,,,DIAG_POSE,76
15,steering_static,steer_center_static,16,0.0,0.0,16,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,77,16,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,78,,,-89,,,,,,,DIAG_NAV,80,,,,,,,,,,16,,,steering_static,steer_center_static,,,,,DIAG_POSE,81
16,steering_static,steer_center_static,17,0.0,0.0,17,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,82,17,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,83,,,-89,,,,,,,DIAG_NAV,85,,,,,,,,,,17,,,steering_static,steer_center_static,,,,,DIAG_POSE,86
17,steering_static,steer_center_static,18,0.0,0.0,18,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,87,18,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,88,,,-89,,,,,,,DIAG_NAV,90,,,,,,,,,,18,,,steering_static,steer_center_static,,,,,DIAG_POSE,91
18,steering_static,steer_center_static,19,0.0,0.0,19,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,92,19,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,93,0.0,,-89,0.6015939712524414,0.6015939712524414,0.6015939712524414,0.0,0.0,0.038691514,DIAG_NAV,95,gap,0.0,0.0,0.0,39.0,0.0,13.649999999999999,13.649999999999999,39.0,19,,,steering_static,steer_center_static,,,,,DIAG_POSE,96
19,steering_static,steer_center_static,20,0.0,0.0,20,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,97,20,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,98,1.7193832397460938,1.5682499408721924,-89,0.7091709768772125,0.44586291909217834,0.5261370437811403,0.18303393309607224,0.09329082816839218,0.008615265,DIAG_NAV,100,avoidance,8.814302273094654,9.470466788060527,0.0,4.0,22.560330628727872,3.085005795583129,3.085005795583129,8.814302273094654,20,,,steering_static,steer_center_static,,,,,DIAG_POSE,101
20,steering_static,steer_center_static,21,0.0,0.0,21,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,102,21,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,103,1.7193832397460938,1.5682499408721924,-89,0.7091709768772125,0.44586291909217834,0.5261370437811403,0.18303393309607224,0.09329082816839218,0.10861297900000001,DIAG_NAV,105,avoidance,8.814302273094654,9.470466788060527,0.0,4.0,22.560330628727872,3.085005795583129,3.085005795583129,8.814302273094654,21,0.0,0.0,steering_static,steer_center_static,0.0,0.0,0.0,0.0,DIAG_POSE,106
21,steering_static,steer_center_static,22,0.0,0.0,22,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,107,22,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,108,1.7058254146575929,1.5102499723434448,-89,0.5922725849681431,0.44668808579444885,0.4103913640664294,0.18188122090171366,0.09304339438676834,0.07350409200000001,DIAG_NAV,110,avoidance,8.841117285192013,7.387044553195729,0.0,5.0,22.55595084341864,3.0943910498172045,3.0943910498172045,8.841117285192013,22,0.0,0.0,steering_static,steer_center_static,0.0,0.0,0.0,0.0,DIAG_POSE,111
22,steering_static,steer_center_static,23,0.0,0.0,23,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,112,23,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,113,1.7265496204296749,1.5809999704360962,-89,0.6027442365884781,0.44613751769065857,0.42166648381480987,0.18107775277366825,0.092962846159935,0.053033762000000005,DIAG_NAV,115,avoidance,8.82936678826809,7.589996708666577,0.0,2.0,22.557870091249548,3.0902783758938313,3.0902783758938313,8.82936678826809,23,0.0,0.0,steering_static,steer_center_static,0.0,0.0,0.0,0.0,DIAG_POSE,116
23,steering_static,steer_center_static,24,0.0,0.0,24,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,117,24,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,118,1.7347684899965923,1.6377500295639038,-89,0.604082302554794,0.4448348581790924,0.4233244461565575,0.18075785639823652,0.09337054193019867,0.031798197,DIAG_NAV,120,avoidance,8.786607906222343,7.619840030818035,0.0,5.0,22.564854041983683,3.07531276717782,3.07531276717782,8.786607906222343,24,0.0,0.0,steering_static,steer_center_static,0.0,0.0,0.0,0.0,DIAG_POSE,121
24,steering_static,steer_center_static,25,0.0,0.0,25,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,122,25,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,123,1.7300514876842499,1.6119999885559082,-89,0.593863515721427,0.44584599137306213,0.4133558527414315,0.18050766297999551,0.09322596341371536,0.048501295,DIAG_NAV,125,avoidance,8.81550069898367,7.440405349345767,0.0,3.0,22.560134885832667,3.0854252446442842,3.0854252446442842,8.81550069898367,25,0.0,0.0,steering_static,steer_center_static,0.0,0.0,0.0,0.0,DIAG_POSE,126
25,steering_static,steer_center_static,26,0.0,0.0,26,6.8,steering_static,0.0,0.0,6.8,0.0,1.0,18.0,steer_center_static,DIAG_STEER,127,26,7.5,steering_static,7.5,False,0.0,steer_center_static,DIAG_MOTOR,128,1.7258376876513164,1.6119999885559082,-89,0.592167294687695,0.44691118597984314,0.41298522805076804,0.17918206663692698,0.09260965138673782,0.0460087,DIAG_NAV,130,avoidance,8.857538364827633,7.433734104913825,0.0,4.0,22.553268733744822,3.1001384276896715,3.1001384276896715,8.857538364827633,26,0.0,0.0,steering_static,steer_center_static,0.0,0.0,0.0,0.0,DIAG_POSE,131
26,steering_static,steer_right_static,27,0.0,10.0,27,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,132,27,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,133,1.7109424543380738,1.5405000448226929,-89,0.5922206713093652,0.4468294680118561,0.4132413792356946,0.17897929207367055,0.09258250147104263,0.043892991000000006,DIAG_NAV,135,avoidance,8.856174163520336,7.438344826242503,0.0,1.0,22.55349155329168,3.0996609572321177,3.0996609572321177,8.856174163520336,27,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,136
27,steering_static,steer_right_static,28,0.0,10.0,28,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,137,28,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,138,1.707060136795044,1.5405000448226929,-89,0.5910907361242507,0.44836050271987915,0.4120461201356128,0.17904461598863788,0.09298424422740936,0.06174992000000001,DIAG_NAV,140,avoidance,8.884406462311745,7.41683016244103,0.0,6.0,22.548880277822416,3.1095422618091106,3.1095422618091106,8.884406462311745,28,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,141
28,steering_static,steer_right_static,29,0.0,10.0,29,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,142,29,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,143,1.7251311192909877,1.5994999408721924,-89,0.6057532112235609,0.4477095603942871,0.4263811815158486,0.1793720297077123,0.09303971379995346,0.064308426,DIAG_NAV,145,avoidance,8.866746164858341,7.674861267285275,0.0,6.0,22.551764793073136,3.1033611577004194,3.1033611577004194,8.866746164858341,29,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,146
29,steering_static,steer_right_static,30,0.0,10.0,30,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,147,30,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,148,1.72458915412426,1.5994999408721924,-89,0.6342050242931285,0.4468095898628235,0.4549129625435019,0.1792920617496266,0.09307924658060074,0.046993541,DIAG_NAV,150,avoidance,8.843258582055569,8.188433325783034,0.0,4.0,22.55560109826426,3.095140503719449,3.095140503719449,8.843258582055569,30,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,151
